Patch,Hero,Ability,Cluster
7.27,npc_dota_hero_antimage,antimage_mana_break,52
7.27,npc_dota_hero_antimage,antimage_blink,17
7.27,npc_dota_hero_antimage,antimage_counterspell,17
7.27,npc_dota_hero_antimage,antimage_mana_overload,17
7.27,npc_dota_hero_antimage,generic_hidden,17
7.27,npc_dota_hero_antimage,antimage_mana_void,55
7.27,npc_dota_hero_antimage,special_bonus_strength_9,17
7.27,npc_dota_hero_antimage,special_bonus_attack_speed_15,17
7.27,npc_dota_hero_antimage,special_bonus_unique_antimage_3,17
7.27,npc_dota_hero_antimage,special_bonus_armor_8,17
7.27,npc_dota_hero_antimage,special_bonus_unique_antimage_6,17
7.27,npc_dota_hero_antimage,special_bonus_unique_antimage,17
7.27,npc_dota_hero_antimage,special_bonus_unique_antimage_4,17
7.27,npc_dota_hero_antimage,special_bonus_unique_antimage_2,17
7.27,npc_dota_hero_axe,axe_berserkers_call,32
7.27,npc_dota_hero_axe,axe_battle_hunger,28
7.27,npc_dota_hero_axe,axe_counter_helix,32
7.27,npc_dota_hero_axe,generic_hidden,0
7.27,npc_dota_hero_axe,generic_hidden,0
7.27,npc_dota_hero_axe,axe_culling_blade,21
7.27,npc_dota_hero_axe,special_bonus_mp_regen_175,0
7.27,npc_dota_hero_axe,special_bonus_attack_speed_25,0
7.27,npc_dota_hero_axe,special_bonus_movement_speed_25,0
7.27,npc_dota_hero_axe,special_bonus_hp_300,0
7.27,npc_dota_hero_axe,special_bonus_unique_axe_5,0
7.27,npc_dota_hero_axe,special_bonus_hp_regen_20,0
7.27,npc_dota_hero_axe,special_bonus_unique_axe_2,0
7.27,npc_dota_hero_axe,special_bonus_unique_axe,0
7.27,npc_dota_hero_bane,bane_enfeeble,40
7.27,npc_dota_hero_bane,bane_brain_sap,22
7.27,npc_dota_hero_bane,bane_nightmare,46
7.27,npc_dota_hero_bane,generic_hidden,51
7.27,npc_dota_hero_bane,generic_hidden,51
7.27,npc_dota_hero_bane,bane_fiends_grip,46
7.27,npc_dota_hero_bane,bane_nightmare_end,51
7.27,npc_dota_hero_bane,special_bonus_armor_6,51
7.27,npc_dota_hero_bane,special_bonus_magic_resistance_15,51
7.27,npc_dota_hero_bane,special_bonus_spell_amplify_12,51
7.27,npc_dota_hero_bane,special_bonus_cast_range_100,51
7.27,npc_dota_hero_bane,special_bonus_unique_bane_5,51
7.27,npc_dota_hero_bane,special_bonus_movement_speed_30,51
7.27,npc_dota_hero_bane,special_bonus_unique_bane_2,51
7.27,npc_dota_hero_bane,special_bonus_unique_bane_3,51
7.27,npc_dota_hero_bloodseeker,bloodseeker_bloodrage,28
7.27,npc_dota_hero_bloodseeker,bloodseeker_blood_bath,42
7.27,npc_dota_hero_bloodseeker,bloodseeker_thirst,0
7.27,npc_dota_hero_bloodseeker,generic_hidden,0
7.27,npc_dota_hero_bloodseeker,generic_hidden,0
7.27,npc_dota_hero_bloodseeker,bloodseeker_rupture,28
7.27,npc_dota_hero_bloodseeker,special_bonus_unique_bloodseeker_5,0
7.27,npc_dota_hero_bloodseeker,special_bonus_armor_6,0
7.27,npc_dota_hero_bloodseeker,special_bonus_lifesteal_15,0
7.27,npc_dota_hero_bloodseeker,special_bonus_unique_bloodseeker_2,0
7.27,npc_dota_hero_bloodseeker,special_bonus_unique_bloodseeker_3,0
7.27,npc_dota_hero_bloodseeker,special_bonus_hp_400,0
7.27,npc_dota_hero_bloodseeker,special_bonus_unique_bloodseeker,0
7.27,npc_dota_hero_bloodseeker,special_bonus_unique_bloodseeker_4,0
7.27,npc_dota_hero_crystal_maiden,crystal_maiden_crystal_nova,22
7.27,npc_dota_hero_crystal_maiden,crystal_maiden_frostbite,46
7.27,npc_dota_hero_crystal_maiden,crystal_maiden_brilliance_aura,51
7.27,npc_dota_hero_crystal_maiden,generic_hidden,51
7.27,npc_dota_hero_crystal_maiden,generic_hidden,51
7.27,npc_dota_hero_crystal_maiden,crystal_maiden_freezing_field,61
7.27,npc_dota_hero_crystal_maiden,special_bonus_hp_200,51
7.27,npc_dota_hero_crystal_maiden,special_bonus_cast_range_75,51
7.27,npc_dota_hero_crystal_maiden,special_bonus_unique_crystal_maiden_4,51
